variable,source,line,time,iter,latency,dataSource,cpu,node,index,map3D,xidx,yidx,zidx
m_xd,LULESH_OMP.cc,2056,cd9e8e4e71fcc,14,280,0,2,0,2182,0,0,0,0
m_x,LULESH_OMP.cc,2035,cd9e8e4f2cfe9,14,263,64,10,0,10998,0,0,0,0
m_zd,LULESH_OMP.cc,2058,cd9e8e50d4ea2,14,21,3,1,1,2425,0,0,0,0
m_x,LULESH_OMP.cc,2035,cd9e8e510d454,14,21,67,12,0,14425,0,0,0,0
m_xd,LULESH_OMP.cc,2056,cd9e8e52271c3,14,35,64,13,1,14598,0,0,0,0
m_xd,LULESH_OMP.cc,2056,cd9e8e534423d,14,22,1,0,0,1514,0,0,0,0
m_x,LULESH_OMP.cc,2035,cd9e8e53ae9d8,14,243,0,15,1,16895,0,0,0,0
m_xd,LULESH_OMP.cc,2056,cd9e8e54e9afa,14,49,68,19,1,22542,0,0,0,0
m_xd,LULESH_OMP.cc,2056,cd9e8e5744319,14,21,67,5,1,6397,0,0,0,0
m_x,LULESH_OMP.cc,2139,cd9e8e59ce02e,14,56,0,10,0,10890,0,0,0,0
m_yd,LULESH_OMP.cc,2179,cd9e8e5a5e802,14,22,3,20,0,23030,0,0,0,0
m_y,LULESH_OMP.cc,2148,cd9e8e5abffae,14,26,1,22,0,24236,0,0,0,0
m_delv_zeta,LULESH_OMP.cc,2347,cd9e8e5d9887b,14,21,67,23,1,22530,1,2,0,22
m_delv_zeta,LULESH_OMP.cc,2347,cd9e8e5d99d11,14,47,0,14,0,13317,1,5,0,13
m_vdov,LULESH_OMP.cc,2374,cd9e8e5ef622a,14,21,3,21,1,21836,1,12,10,21
m_delx_xi,LULESH_OMP.cc,2379,cd9e8e5f48af3,14,24,66,13,1,13722,1,26,12,13
m_elemMass,LULESH_OMP.cc,2387,cd9e8e60b9616,14,22,67,31,1,32546,1,2,25,31
m_delv_zeta,LULESH_OMP.cc,2353,cd9e8e620c11d,14,21,1,10,0,12228,1,4,30,11
